Date,Close_HDFC,Close_KOTAK,Close_SBI
1/3/2000,293.50,229.35,243.65
1/4/2000,304.05,246.95,259.10
1/5/2000,292.80,228.40,248.45
1/6/2000,296.45,225.90,261.00
1/7/2000,286.55,208.85,273.30
1/10/2000,287.20,192.15,269.50
1/11/2000,283.85,176.80,247.95
1/12/2000,285.60,162.70,244.75
1/13/2000,283.85,167.35,244.50
1/14/2000,286.55,159.85,239.20
1/17/2000,302.20,153.50,235.90
1/18/2000,305.75,149.50,236.45
1/19/2000,305.25,161.50,243.95
1/20/2000,291.35,174.45,237.70
1/21/2000,299.55,188.45,237.45
1/24/2000,293.05,203.55,228.30
1/25/2000,303.15,200.60,224.85
1/27/2000,316.60,194.95,230.15
1/28/2000,324.40,210.55,248.50
1/31/2000,333.50,227.40,244.70
2/1/2000,350.55,230.60,246.50
2/2/2000,351.40,222.00,247.50
2/3/2000,341.90,207.40,258.80
2/4/2000,357.20,204.00,255.90
2/7/2000,355.45,191.65,247.40
2/8/2000,350.50,190.00,242.30
2/9/2000,329.15,180.05,245.40
2/10/2000,320.35,172.50,248.80
2/11/2000,343.65,171.15,250.10
2/14/2000,359.15,157.50,266.60
2/15/2000,332.60,149.60,253.90
2/16/2000,341.60,161.60,250.00
2/17/2000,339.20,174.55,250.00
2/18/2000,327.90,174.85,241.10
2/21/2000,319.15,171.60,244.20
2/22/2000,305.95,163.20,237.10
2/23/2000,330.45,160.40,234.05
2/24/2000,351.70,153.85,243.35
2/25/2000,379.85,143.30,241.00
2/28/2000,409.70,144.15,245.45
2/29/2000,401.70,140.45,228.75
3/1/2000,433.85,151.70,236.20
3/2/2000,468.60,163.85,226.00
3/3/2000,473.05,171.25,208.20
3/6/2000,443.50,184.95,212.10
3/7/2000,412.20,199.75,207.50
3/8/2000,416.70,194.80,191.45
3/9/2000,399.60,179.25,178.90
3/10/2000,397.55,164.95,170.40
3/13/2000,381.60,151.75,164.35
3/14/2000,396.65,139.65,177.50
3/15/2000,400.50,144.30,186.50
3/16/2000,398.20,134.30,199.70
3/21/2000,406.35,123.60,212.90
7/2/2001,662.35,48.05,215.30
7/3/2001,663.60,48.00,219.90
7/4/2001,669.80,48.40,228.30
7/5/2001,664.90,48.30,226.10
7/6/2001,660.00,48.00,223.65
7/9/2001,652.85,47.60,218.70
7/10/2001,650.55,46.80,219.10
7/11/2001,660.15,46.00,218.80
7/12/2001,651.15,46.00,222.40
7/13/2001,664.10,45.00,224.05
7/16/2001,660.85,44.50,224.90
7/17/2001,659.90,45.15,218.45
7/18/2001,659.85,44.90,216.45
7/19/2001,654.50,44.55,213.90
7/20/2001,633.70,43.60,211.20
7/23/2001,629.55,44.00,213.30
7/24/2001,633.25,39.95,210.35
7/25/2001,640.40,41.65,211.05
7/26/2001,651.05,42.00,207.65
7/27/2001,657.45,42.30,209.60
7/30/2001,653.70,41.45,205.40
7/31/2001,670.00,42.00,201.65
8/1/2001,680.75,42.45,206.05
8/2/2001,673.40,42.20,207.45
8/3/2001,670.30,43.05,207.65
8/6/2001,669.85,43.00,205.25
8/7/2001,662.10,42.80,205.15
8/8/2001,665.00,43.20,200.60
8/9/2001,667.10,43.30,199.90
8/10/2001,678.10,43.00,203.05
8/13/2001,664.05,43.00,206.50
8/14/2001,662.90,43.00,210.10
8/16/2001,662.85,43.10,205.90
8/17/2001,680.90,43.00,203.65
8/20/2001,689.00,43.00,203.65
8/21/2001,702.50,43.00,199.05
8/23/2001,710.45,43.00,199.95
8/24/2001,702.25,43.00,199.85
8/27/2001,677.70,43.25,198.70
8/28/2001,675.90,43.05,198.80
8/29/2001,680.10,43.05,199.85
8/30/2001,697.10,43.00,198.70
8/31/2001,704.85,43.10,198.30
9/3/2001,691.80,43.15,196.80
9/4/2001,689.90,43.00,194.75
9/5/2001,697.30,43.00,192.90
9/6/2001,706.85,43.00,189.15
9/7/2001,710.50,43.15,189.15
9/10/2001,720.35,43.00,187.60
9/11/2001,709.35,43.00,186.75
9/12/2001,668.35,37.75,179.35
9/13/2001,678.70,37.75,178.70
9/14/2001,620.75,32.10,173.55
9/17/2001,620.30,27.30,156.25
9/18/2001,627.35,32.15,159.35
