Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,ICICI,EQ,92.1,96.9,99.5,95.0,99.5,99.25,98.34,364770,3587287790000.0,,,
2000-01-04,ICICI,EQ,99.25,101.0,105.5,99.0,103.35,103.65,102.7,642407,6597757170000.0,,,
2000-01-05,ICICI,EQ,103.65,100.0,103.0,96.3,102.0,99.85,100.17,413205,4139009890000.0,,,
2000-01-06,ICICI,EQ,99.85,102.0,104.45,101.6,102.95,103.3,103.13,698460,7203494420000.0,,,
2000-01-07,ICICI,EQ,103.3,101.0,102.5,96.0,97.2,96.9,98.23,229187,2251279680000.0,,,
2000-01-10,ICICI,EQ,96.9,98.9,104.65,98.9,104.65,104.65,102.88,621588,6394823140000.0,,,
2000-01-11,ICICI,EQ,104.65,104.65,113.05,103.0,113.05,113.05,109.72,1707804,18738573695000.0,,,
2000-01-12,ICICI,EQ,113.05,122.1,122.1,122.1,122.1,122.1,122.1,1013246,12371733660000.0,,,
2000-01-13,ICICI,EQ,122.1,131.9,131.9,125.0,130.0,130.35,130.12,2923391,38038272485000.0,,,
2000-01-14,ICICI,EQ,130.35,130.0,140.8,121.4,135.9,136.9,133.43,2740826,36569765705000.0,,,
2000-01-17,ICICI,EQ,136.9,138.7,147.8,126.05,131.7,131.15,140.32,1572712,22069060715000.0,,,
2000-01-18,ICICI,EQ,131.15,127.25,138.8,127.25,136.95,136.9,135.6,1594165,21616834970000.0,,,
2000-01-19,ICICI,EQ,136.9,139.25,142.7,136.5,140.85,139.95,139.84,1355555,18956738135000.0,,,
2000-01-20,ICICI,EQ,139.95,138.0,140.1,131.65,134.1,134.0,135.69,744826,10106867655000.0,,,
2000-01-21,ICICI,EQ,134.0,134.0,134.0,129.25,131.8,131.25,131.34,424258,5572120915000.0,,,
2000-01-24,ICICI,EQ,131.25,133.85,140.0,125.05,136.15,136.0,133.43,997257,13306774390000.0,,,
